slug,citation_key_or_title,paper_type_tag,game(s),main_claim,why_relevant,what_to_replicate,data_available(Y/N),methods_extract_path,core_score(0-6),core_or_optional
arxiv_2402.04559,Xie/Huang et al. (2024) NeurIPS - Can Large Language Model Agents Simulate Human Trust Behaviors?,llm_llm_interaction,"Trust Game, Dictator Game","LLM agents (GPT-4) can replicate human-like trust and reciprocity patterns including risk adaptation, prosocial preferences, and demographic biases",Primary replication target - direct LLM-LLM trust game with human baseline comparison and BDI reasoning framework,One-shot and repeated Trust Game with BDI prompting; demographic variation experiments; trust vs dictator game comparisons,Y,knowledge_library/docling/arxiv_2402.04559/toc.md,6 (2+2+2),core
www_nature_com_s41562_025_02172_y,Akata et al. (2025) Nature Human Behaviour - Playing repeated games with large language models,llm_simulates_humans,"Prisoner's Dilemma, Battle of the Sexes, Stag Hunt","GPT-4 exhibits near-optimal but unforgiving strategies in iterated PD, struggles with coordination games, but improves dramatically with Social Chain-of-Thought prompting",Demonstrates strategic personality differences across models and critical role of prompting interventions (SCoT) for coordination and ToM,Repeated PD with memory; Social Chain-of-Thought prompting technique; coordination game dynamics,Y,knowledge_library/docling/www_nature_com_s41562_025_02172_y/toc.md,5 (2+2+1),core
arxiv_2301.07543,Horton (2023) - Large Language Models as Simulated Economic Agents: What Can We Learn from Homo Silicus?,methods_tooling,"Labor markets, wage negotiations","LLMs trained on human text encode latent social information and can serve as implicit computational models of human economic behavior",Foundational framework establishing LLMs as Homo Silicus - provides theoretical justification and methodological grounding for using LLMs as economic agents,Persona endowment techniques; preference encoding methods; validation against human behavioral data,Y,knowledge_library/docling/arxiv_2301.07543/toc.md,5 (1+2+2),core
arxiv_2502.12504,Sreedhar et al. (2025) - Simulating Cooperative Prosocial Behavior with Multi-Agent LLMs,llm_llm_interaction,Public Goods Game,Multi-agent LLM systems replicate human cooperation patterns across experimental treatments (priming/transparency/heterogeneity) and exhibit emergent behaviors like coordination and cheating,Demonstrates LLM-LLM cooperative dynamics in N-player games; validates treatment effects; shows emergent strategic behaviors,Public goods game with varying treatments; multi-agent coordination protocols; contribution tracking over rounds,Y,knowledge_library/docling/arxiv_2502.12504/toc.md,5 (2+2+1),core
arxiv_2203.11171,Wang et al. (2023) - Self-Consistency Improves Chain of Thought Reasoning in Language Models,prompting_intervention,N/A (reasoning benchmark),"Sampling multiple reasoning paths and marginalizing via majority vote substantially improves LLM reasoning accuracy",Critical sampling technique for generating robust behavioral distributions from LLMs rather than single-shot outputs,Self-consistency sampling protocol; majority voting aggregation; temperature/sampling parameter effects,Y,knowledge_library/docling/arxiv_2203.11171/toc.md,4 (0+2+2),core
proceedings_mlr_press_aher23a,Aher et al. (2023) ICML - Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,llm_simulates_humans,"Milgram obedience, Wisdom of crowds, Garden path sentences","GPT-3/GPT-4 can replicate classic human experimental findings (65-75% obedience in Milgram) but exhibit hyper-accuracy and hyper-obedience artifacts",Establishes methodology for LLM human simulation; identifies key artifacts (over-accuracy/over-obedience); demonstrates persona variance techniques,Multi-persona sampling; artifact detection methods; validation protocols against human experimental benchmarks,Y,knowledge_library/docling/proceedings_mlr_press_aher23a/toc.md,4 (1+1+2),core
arxiv_2501.16173v1,"Agarwal et al. (2025) - Will Systems of LLM Agents Cooperate: An Investigation into a Social Dilemma",llm_llm_interaction,Prisoner's Dilemma (iterated),"Attitudinal conditioning (""aggressive"" vs ""cooperative"" prompts) dramatically shifts equilibrium outcomes in multi-agent LLM systems",Direct LLM-LLM strategic interaction with prompt-based preference manipulation; shows plasticity of cooperative behavior,Iterated PD with attitudinal personas; equilibrium convergence tracking; prompt sensitivity analysis,Y,knowledge_library/docling/arxiv_2501.16173v1/toc.md,4 (2+1+1),core
arxiv_2508.03262v1,Choi et al. (2025) - Pay What LLM Wants: Can LLM Simulate Economics Experiment with 522 Real-human Persona?,methods_tooling,Pay-what-you-want pricing,"LLMs can capture group-level behavioral patterns when grounded in real human persona data, though individual predictions remain noisy",Demonstrates real persona grounding technique (vs fictional); compares prompting strategies (CoT/RAG/few-shot); validates group vs individual prediction accuracy,Real persona injection format; prompting method comparison; group-level aggregation validation,Y,knowledge_library/docling/arxiv_2508.03262v1/toc.md,4 (1+2+1),optional
arxiv_2507.02197,"Park et al. (2024) - Do Role-Playing Agents Practice What They Preach? Belief-Behavior Consistency in LLM-Based Simulations of Human Trust",prompting_intervention,Trust Game,"LLMs exhibit belief-behavior gaps where stated beliefs about trust don't always align with actual sending/returning behaviors",Trust-specific analysis of persona consistency; identifies when role-play breaks down; critical for validating simulation fidelity,Belief-behavior consistency measurement; trust-specific persona validation; gap detection methods,Y,knowledge_library/docling/arxiv_2507.02197/toc.md,4 (2+1+1),optional
arxiv_2502.09053v2,Akata et al. (2025) IJCAI - Game Theory Meets Large Language Models: A Systematic Survey,methods_tooling,"Multiple (survey coverage: matrix games, auctions, mechanism design)","Comprehensive taxonomy of LLM-game theory intersection identifies evaluation gaps, prompting effects, and emergent strategic behaviors across 140K+ game instances",Provides taxonomies and frontier summary; identifies methodological gaps; comprehensive literature positioning,Taxonomy of game types and LLM capabilities; evaluation framework categories; frontier identification,Y,knowledge_library/docling/arxiv_2502.09053v2/toc.md,3 (0+2+1),optional
